debug/a1_2_std,debug/q2,idle_time,debug/backup,debug/log_pi,debug/log_pi_std,episode_length_test,debug/a2_1_std,return_train,debug/a1_2,debug/a2_0_std,training_step_duration,debug/a_2,debug/q_a1,debug/a2_2_std,debug/demo_sampling_weight,_timestamp,debug/demo_fraction_in_batch,debug/a1_0,debug/a_1,episode_length_train,_runtime,debug/logp_a2,debug/a1_1,losses/loss_actor,_step,debug/d,debug/a_2_std,round_time,debug/q_a1_std,debug/a2_0,debug/q_a1_targ,debug/q1,debug/q_a1_targ_std,debug/backup_std,debug/logp_a2_std,debug/d_std,debug/a2_1,sampling_duration,debug/a_0_std,debug/actor_grad_norm,losses/loss_critic,debug/r,debug/a2_2,debug/a1_1_std,debug/critic_grad_norm,debug/a_1_std,memory_len,debug/a_0,lrs/actor_lr,lrs/critic_lr,debug/a1_0_std,debug/q2_std,return_test,debug/r_std,debug/q1_std
0.5945396682,16.3617466295,0.0,16.3429775111,-1.9456631641,0.4576166843,0,0.5899712441,17.7443161011,-0.0432932022,0.5927675577,0.0529806288,0.0767762971,16.3791291257,0.5931996888,1.0,1772102539.9278166,0.6066666667,0.0330037295,0.0571837239,254.3333333333,12277.2854705,-1.9466093791,0.0459772766,-16.3985967318,462,0.0002278646,0.7177336029,26.8678529263,18.1306205118,0.0321911023,16.1564185822,16.39618156,18.7313238726,18.5417785201,0.4571509272,0.0045504978,0.043439914,0.0356977646,0.4706229907,0.0212277089,0.4959184021,0.3359140795,-0.042533221,0.5892918346,16.2463163274,0.3667533211,209256,0.4944963638,1e-05,5e-05,0.59247893,18.5275542559,0,0.1349350737,18.5143653079
0.5921014402,16.0029786225,0.0,15.9317393963,-1.9051756346,0.5383555531,0,0.5909166,17.8243541718,-0.0749141616,0.5889944861,0.0534681678,0.0807996875,16.0285308643,0.5920634003,1.0,1772102539.9288177,0.6966666667,0.0670497485,0.0537518546,327.0,12277.2859699,-1.9034942035,0.0642820653,-16.0475747828,463,0.000234375,0.726642196,27.1263711452,21.9643375893,0.0667147753,15.7126786816,16.0679742638,22.7280395468,22.4841490334,0.5344982784,0.0047843102,0.0621501089,0.0360797413,0.4486654271,0.0217925877,0.5997699548,0.3559905086,-0.0789832466,0.5905328621,20.4627281345,0.3332636934,209256,0.5638958398,1e-05,5e-05,0.5884071243,22.418439494,0,0.1500940157,22.4076560207
0.5896658127,20.6499699473,0.0,20.6394805559,-1.9174269756,0.5102407266,0,0.5898073626,7.4670181274,-0.050406239,0.5921869596,0.0557031695,0.075518807,20.6822691683,0.5899842302,1.0,1772102539.9298162,0.69,0.0238740462,0.0511424239,509.3333333333,12277.2864707,-1.9205679357,0.0531954855,-20.701449434,464,0.0002278646,0.7354852986,28.0312643051,19.9482316526,0.024946348,20.4507150439,20.7160476387,20.5819776082,20.3763729843,0.509263147,0.0048099931,0.0524626669,0.0368619855,0.4524466968,0.0196606933,0.5125640929,0.3871154584,-0.0494963566,0.5907324028,14.2071290574,0.3393246723,210247,0.5637356474,1e-05,5e-05,0.5913837135,20.3427863795,0,0.1386615346,20.3678716445
0.5938663081,15.3471260313,0.0,15.2971069717,-1.9182029851,0.4986096503,0,0.5868792286,10.9779348373,-0.0337842743,0.5898362273,0.0544050725,0.0737463394,15.3190931678,0.5942844975,1.0,1772102539.9303157,0.61,0.0258421298,0.0451883476,328.6666666667,12277.2869703,-1.9197919524,0.0836041169,-15.338303496,465,0.0002669271,0.7146449105,27.6707565784,19.2362733618,0.0244591052,15.1007845116,15.2902108602,19.8451367843,19.6415772351,0.4935483208,0.0056073781,0.0828184108,0.0369402742,0.4674313665,0.0198726255,0.4896207083,0.3351389986,-0.0357431342,0.5873562284,15.40692422,0.366688261,210516,0.4946833278,1e-05,5e-05,0.5921558607,19.5523982497,0,0.1361895123,19.5881295351
0.5923576985,16.1057563925,0.0,16.1751419342,-1.9483947066,0.4493975448,0,0.5917296586,14.7114238739,-0.0271652201,0.5903453737,0.0539943806,0.0670051642,16.1547106898,0.5921321833,1.0,1772102539.9313161,0.5666666667,0.0407083072,0.0513932136,312.0,12277.2879701,-1.9489488713,0.0459499931,-16.1742033052,466,0.0002864583,0.7129376505,27.542683363,16.782559193,0.0410593619,16.0070364634,16.1906476223,17.2465294059,17.0835365923,0.4481551697,0.0060493199,0.045889229,0.0368631291,0.4753717538,0.0184574118,0.397012131,0.3231373595,-0.0242390068,0.5897776455,11.8189011027,0.3781972766,210829,0.4548553455,1e-05,5e-05,0.5909874757,17.0766149672,0,0.1285106323,17.0439293067
0.593659686,17.9691265198,0.0,17.8615691797,-1.9142002006,0.5168840953,0,0.5862308808,0.9822944999,-0.0383262753,0.5903433277,0.0520628087,0.0749969255,17.9197465201,0.5927513605,1.0,1772102539.931816,0.6766666667,0.0516751428,0.0530252631,496.0,12277.2884701,-1.914401238,0.0967009072,-17.9388941638,467,0.000234375,0.7308882429,26.4397311211,21.0269677301,0.0499596901,17.6479118852,17.9192023043,21.6195347963,21.3823336653,0.5126562933,0.0048708086,0.0953338497,0.0350835371,0.4542088011,0.020263958,0.5201639457,0.3729181157,-0.0375602718,0.5879120938,14.495050159,0.3423270504,211418,0.5512857904,1e-05,5e-05,0.5904061852,21.3476481187,0,0.1397613868,21.339237779
0.5899809635,19.7419715234,0.0,19.6873308516,-1.8983021792,0.5366897478,0,0.5791049069,12.5275297165,0.0094810328,0.5881435068,0.0527757978,0.0865614412,19.727916069,0.5900511867,1.0,1772102539.932316,0.7166666667,0.045196746,0.0482923453,323.3333333333,12277.2894709,-1.9018750707,0.1458280524,-19.7468967156,468,0.0002473958,0.7385446014,26.9168326855,21.888924861,0.0427115589,19.4761835233,19.7308273558,22.4556913904,22.2206951412,0.537466888,0.005078938,0.1435675233,0.0361161812,0.4465634176,0.0198574773,0.4845570419,0.3950063177,0.0064159456,0.5789555095,13.7489444555,0.3257685108,212121,0.5831279777,1e-05,5e-05,0.5877806874,22.1816110845,0,0.1435196044,22.190118446
0.5893464355,15.5166697625,0.0,15.468763839,-1.9184503663,0.5069325391,0,0.5866627493,13.7904424667,0.0661005496,0.5889345553,0.052227997,0.0774921244,15.5294978611,0.5879539043,1.0,1772102539.9333167,0.64,0.0536398436,0.0449096861,438.6666666667,12564.6916935,-1.9200934696,0.0921422817,-15.5486946215,469,0.0002604167,0.7183677653,26.6851358414,20.520574613,0.0528508101,15.2661132224,15.5709307615,21.0316005544,20.8132867257,0.5046531567,0.0054600642,0.0900375837,0.0358482488,0.4617042758,0.0185224861,0.448400453,0.3431534221,0.0677424518,0.5883797238,14.3780273307,0.3545250067,212564,0.5208801911,1e-05,5e-05,0.5883566735,20.7663332355,0,0.1405495566,20.800048703
0.5931250546,13.8777183181,0.0,13.8232602511,-1.9361300222,0.4787549098,0,0.5878156632,17.310174942,-0.0080555785,0.5892583303,0.0533692018,0.0701968993,13.8584678698,0.59314388,1.0,1772102827.3422294,0.62,0.0462047785,0.0484480909,248.0,12564.6916935,-1.9370249156,0.094987409,-13.8778237512,470,0.0002929688,0.7120919943,27.0872347355,20.5523715679,0.042677608,13.6227671921,13.8716939485,21.012460295,20.8061108188,0.4782197401,0.0061101354,0.0907865345,0.0360961795,0.4647697401,0.0198423221,0.505169686,0.3273768139,-0.0060657559,0.5871004093,16.6070746026,0.3611797755,212813,0.5061333656,1e-05,5e-05,0.588867747,20.7934219166,0,0.142218555,20.8417173382
0.5923734359,15.8516855081,0.0,15.7378296175,-1.9545183794,0.4547034284,0,0.5881013306,17.310174942,0.0012126838,0.5856272119,0.0572780244,0.0716323801,15.7846933806,0.5918451343,1.0,1772102827.342621,0.6033333333,0.0698470375,0.0537464886,248.0,12564.6923011,-1.9548329834,0.0867074359,-15.8042310009,471,0.0002473958,0.7165118315,28.766071558,18.8924469244,0.0714643052,15.5491567274,15.7456148138,19.3430239375,19.151243458,0.4501139263,0.0052519349,0.0853690727,0.0376851281,0.4706123836,0.0183259918,0.4036867829,0.3372186636,-0.0013710585,0.5872227997,11.8586619551,0.3678917239,212813,0.487927779,1e-05,5e-05,0.5877949303,19.10851092,0,0.1321106166,19.1061136955
