debug/a1_2_std,debug/a1_0,debug/q2,debug/a1_1,lrs/critic_lr,debug/q2_std,debug/a_0_std,debug/r_std,training_step_duration,memory_len,debug/a_2_std,debug/a2_1,return_train,_timestamp,debug/q1_std,debug/r,lrs/actor_lr,debug/backup,bc/bc_lambda,debug/q1,losses/loss_critic,debug/critic_grad_norm,episode_length_train,debug/a2_2_std,round_time,debug/q_a1_std,losses/loss_actor,debug/q_a1_targ_std,debug/backup_std,debug/a_2,debug/a_1,_runtime,debug/logp_a2,debug/log_pi_std,debug/demo_fraction_in_batch,_step,debug/a1_1_std,debug/a_1_std,idle_time,episode_length_test,debug/actor_grad_norm,debug/q_a1_targ,debug/q_a1,debug/d,debug/a2_1_std,debug/a1_0_std,debug/a2_0,return_test,debug/a2_0_std,debug/a2_2,debug/logp_a2_std,debug/log_pi,debug/d_std,debug/a_0,sampling_duration,debug/a1_2
0.0542492047,0.9642373049,1.7553041808,-0.8861898855,2e-05,2.277337273,0.4102086701,0.0767677484,0.3833161434,256189,0.4802953718,-0.8885562869,16.2833480835,1772725860.9063087,2.0370285598,0.0309796499,5e-06,1.7996847932,0.0489124628,1.7459019367,0.1356068117,7.4358131822,812.0,0.0556547658,57.7055056095,1.9669323484,-1.7461445562,2.1598190363,2.35191588,0.6509244968,0.3671123368,15734.7989547,-0.1019580266,0.5314331384,0.0133333333,216,0.2727831634,0.6191371008,0.0,0,0.312207673,1.6937975105,1.7483282797,0.0032812501,0.2693692067,0.1737401536,0.9646054192,0,0.1732420651,0.0051909724,0.5244702139,-0.1032996417,0.0559925509,0.8327679972,0.0013037729,0.0051649307
0.1837707038,0.9666156387,1.895645709,-0.8950325934,2e-05,2.3803128648,0.419245586,0.0736064293,0.380503931,256189,0.4828460433,-0.896700778,16.2833480835,1772725860.9068081,2.0428725425,0.0322163711,5e-06,1.8712420074,0.0489074395,1.7426828305,0.1328016814,7.6268677195,812.0,0.1826259324,57.274518013,2.0765963697,-1.8510296011,2.2376058706,2.427307055,0.6359201578,0.3637760883,15734.7994541,-0.0966867352,0.5050388405,0.0120833333,217,0.2558511696,0.6176830868,0.0,0,0.3969756586,1.7614808003,1.8528509657,0.0032986112,0.2544987665,0.165182768,0.9671323506,0,0.1636898143,0.0787673633,0.4953235041,-0.0997617366,0.0558103889,0.8275602913,0.0012259881,0.0797265647
0.2528675978,0.9531108622,1.856905005,-0.8634914847,2e-05,2.4337752255,0.4080143668,0.0750365952,0.3698361238,256189,0.4797039227,-0.8656288628,16.2833480835,1772725860.9073083,2.1304854472,0.03118071,5e-06,1.840724539,0.0489024162,1.7608767025,0.1326579616,8.184513588,812.0,0.2505495396,55.6834676266,2.113753682,-1.8078010027,2.2264338223,2.4128626561,0.645421025,0.362098185,15734.7999542,-0.1369662724,0.600036792,0.0153776042,218,0.3042442152,0.623621852,0.0,0,0.4169870598,1.7345640437,1.8091327262,0.0031944445,0.3019724245,0.204493021,0.9533530112,0,0.2053813015,0.0988802108,0.5972034864,-0.1378808257,0.0547151918,0.8344345514,0.0013094664,0.1006814267
0.0381039023,0.9683753117,1.8054016797,-0.9077677496,2e-05,2.3104520551,0.4248849747,0.0725531108,0.3724277163,256189,0.4805181654,-0.9086710946,16.2833480835,1772725860.9073083,2.1290161427,0.0304033902,5e-06,1.8741236687,0.048897393,1.7603214753,0.1355532999,9.1783186372,812.0,0.0380160964,56.0813717842,2.0589261301,-1.7971039108,2.2627335795,2.4364073793,0.6452908174,0.3638052934,15734.8004541,-0.0894492925,0.5021288659,0.0083333333,219,0.2448037527,0.6237256793,0.0,0,0.2583562841,1.773595763,1.798632609,0.0032465279,0.2436081022,0.1674998857,0.9685805778,0,0.1667019204,0.0045182293,0.4930517558,-0.090764705,0.0557850323,0.8241352129,0.0012438409,0.0044704863
0.0452768122,0.9817102091,1.9811727866,-0.9372021198,2e-05,2.4274223487,0.4080072943,0.0762497898,0.3713428593,256189,0.4866090143,-0.9377567935,16.2833480835,1772726501.2062986,2.0471907147,0.0317794974,5e-06,1.8966922212,0.0488923697,1.75654936,0.1409813558,9.0909518051,812.0,0.0462541527,55.9125409126,2.101649673,-1.8863715251,2.3026580469,2.4948511799,0.6323915114,0.3731983882,16375.0696061,-0.0467891284,0.3697688944,0.0208333333,220,0.1931740416,0.6185947188,0.0,0,0.3481495041,1.7898505227,1.8900714517,0.003233507,0.192982132,0.1175608382,0.9825164485,0,0.1145115601,0.0051475696,0.3584741715,-0.0493859845,0.0555537967,0.8345610432,0.001340615,0.0050564237
0.0448022107,0.9595200725,1.6622413365,-0.8720700502,2e-05,2.1336427752,0.4168024555,0.0728844399,0.3717199008,256189,0.4809639374,-0.8745331903,16.2833480835,1772726501.2072992,1.9760996381,0.0309931879,5e-06,1.8924361229,0.0488873464,1.6765060798,0.1406324248,9.2487513701,812.0,0.0464248283,55.959625721,1.9386935671,-1.7080507088,2.2759395281,2.4530947638,0.6423915146,0.3666158886,16375.0701074,-0.1166693275,0.5486057329,0.01375,221,0.2978846633,0.6199045245,0.0,0,0.2614535571,1.790538493,1.7093688838,0.0033506945,0.2954420713,0.1899360818,0.9598580313,0,0.1886609169,0.0050781251,0.5488084067,-0.1178446336,0.0565642904,0.8286252081,0.0012608274,0.0050694446
0.0480067426,0.9640980375,1.6184917744,-0.8901294307,2e-05,1.9701917322,0.4063497943,0.073366901,0.3680761798,256189,0.4809045768,-0.8920112828,16.2833480835,1772726501.2077985,1.9740026776,0.0305732566,5e-06,1.8222340178,0.0488823232,1.6873351749,0.1344538824,9.3464756775,812.0,0.0473557528,55.4003436565,1.8422905548,-1.6765288401,2.2132421215,2.392565039,0.6480555745,0.3685145716,16375.0706065,-0.1004236033,0.5257651621,0.01359375,222,0.2714057873,0.6192416966,0.0,0,0.3766698193,1.7198910824,1.6792818515,0.0033940973,0.2685090979,0.1779653547,0.9645379392,0,0.176423645,0.005013021,0.5183241596,-0.1030638828,0.0571115999,0.8382079184,0.0011825641,0.0050043404
0.2681534511,0.9628143569,1.8119942188,-0.8876279175,2e-05,2.23662462,0.4138169821,0.0726389098,0.3706098334,256189,0.4823527175,-0.890013994,16.2833480835,1772726501.2077985,1.9034800998,0.0306372475,5e-06,1.820980773,0.0488772999,1.6184597516,0.1269852479,8.2707135677,812.0,0.2655536033,55.7810781002,1.9764598409,-1.7663872854,2.2014124592,2.3781483563,0.6397786649,0.3624970072,16375.0711061,-0.1044502411,0.5359241652,0.0166666667,223,0.2728183102,0.6226584872,0.0,0,0.3496308223,1.7183033005,1.7687883059,0.0031987848,0.2696567861,0.1770245308,0.9639963492,0,0.1735098349,0.1241710113,0.5278686764,-0.1079354718,0.0554211965,0.8310959554,0.0011839167,0.1261545178
0.0566081308,0.9639306267,1.8772813249,-0.88775268,2e-05,2.271650366,0.4252950921,0.0759833018,0.3763937553,256189,0.4852347853,-0.8901073138,16.2833480835,1772726501.2082982,1.9233624657,0.0313796888,5e-06,1.8890496333,0.0488722766,1.6295532393,0.1265734064,8.9742419823,812.0,0.0568196395,56.651696682,2.0085238814,-1.8134388471,2.2346205068,2.4098758451,0.6325955059,0.3643696903,16375.0716061,-0.1032502333,0.524493107,0.0091666667,224,0.2762294509,0.6209414633,0.0,0,0.3081295645,1.7844526116,1.8157492042,0.0032291667,0.2729220033,0.179262104,0.9641250487,0,0.1793599353,0.0065668404,0.5252690947,-0.1039042124,0.0551705389,0.8213864227,0.0012139591,0.0065407988
0.0358588195,0.9621175989,1.7068233422,-0.8842475804,2e-05,2.1852861603,0.4097468447,0.0720062577,0.3890108156,256189,0.4793573397,-0.8854348942,16.2833480835,1772726501.2087982,1.9155925854,0.0294646035,5e-06,1.8212025086,0.0488672534,1.6262300062,0.1253330986,9.4315431293,812.0,0.0344830251,58.5896995068,1.9150339484,-1.6902728637,2.2068232187,2.3754038612,0.6520920318,0.3733237145,16375.0716061,-0.1078417958,0.5413670466,0.0133333333,225,0.2798845869,0.6157708677,0.0,0,0.2205807656,1.7248581127,1.6921788232,0.0032769098,0.2792770607,0.183636637,0.9628809599,0,0.1812759962,0.0034765626,0.5323745275,-0.1102837894,0.0556022126,0.834600691,0.0015204255,0.0035026043
0.0495193572,0.9679728456,1.7822460119,-0.899943562,2e-05,2.2910250433,0.4119526459,0.0732371682,0.4291522598,270618,0.4848955925,-0.9002454682,15.7895186742,1772726501.2092981,2.0587270292,0.0311063427,5e-06,1.8467345532,0.0488622301,1.7805484708,0.1220825894,9.4331028271,704.0,0.0495136733,65.1894016266,2.0037765416,-1.7703039479,2.2119120479,2.3859959714,0.6397873459,0.3745624291,16375.0721062,-0.0903384573,0.4934893175,0.0133333333,226,0.256997054,0.6213003012,0.0,0,0.2946472097,1.7420364539,1.7723302897,0.003233507,0.2580058091,0.1655401898,0.9684600178,0,0.1646746217,0.0056336807,0.4978370345,-0.0903005178,0.055348087,0.832202944,0.0013620186,0.0055859377
0.0474238484,0.9736037234,2.0129278374,-0.9156057914,2e-05,2.6097315494,0.4161267257,0.0736124196,0.4256018925,270618,0.4859725447,-0.9169319963,14.8018598557,1772726501.2097986,2.0124236115,0.0312640205,5e-06,1.9165429338,0.0488572068,1.7309193373,0.1267383918,9.7690812747,488.0,0.0497680084,64.291352272,2.2104721149,-1.9139236975,2.3176318574,2.4887910938,0.6358333534,0.3749390414,16375.0726066,-0.0721419698,0.4551382566,0.0145833333,227,0.2303493965,0.6189234396,0.0,0,0.2989935473,1.8128642424,1.9163194672,0.003311632,0.2277679078,0.1475248288,0.9743994709,0,0.1442887108,0.0049522571,0.4449097322,-0.0746260301,0.0558874821,0.8300976268,0.0029036204,0.0047916668
0.255680327,0.9583244546,1.8738102198,-0.8757914038,2e-05,2.4645520616,0.4073509644,0.0724223914,0.3743301598,270618,0.4810739712,-0.8774660071,14.8018598557,1772726501.2102983,2.0279744045,0.0301961945,5e-06,1.8949643397,0.0488521836,1.6740102232,0.1374326432,11.8921975835,488.0,0.2544929937,56.3521721363,2.1619290884,-1.821541671,2.3429180956,2.5092674375,0.6387456818,0.3765165681,16375.0731062,-0.1226206767,0.572458927,0.0101822917,228,0.2901424576,0.6175607896,0.0,0,0.3251854433,1.7968098203,1.8227029236,0.0033289931,0.2902979082,0.191569836,0.9578233119,0,0.1940740651,0.1299522606,0.5681088328,-0.1241320845,0.0560962432,0.8353557555,0.0012775183,0.1311631988
