lrs/actor_lr,debug/a2_1_std,debug/q_a1,round_time,debug/a_0,debug/actor_grad_norm,sampling_duration,debug/q1_std,debug/q_a1_std,debug/backup,debug/log_pi_std,debug/a1_2_std,_step,debug/a2_2,debug/a1_0_std,debug/q1,debug/logp_a2,debug/d_std,debug/a_1_std,debug/a2_2_std,debug/log_pi,lrs/critic_lr,debug/d,debug/a_1,debug/a2_1,debug/q_a1_targ,debug/a1_1_std,debug/a_0_std,training_step_duration,debug/a_2_std,debug/a2_0,debug/r_std,losses/loss_critic,memory_len,debug/a1_2,debug/backup_std,debug/demo_fraction_in_batch,debug/q2_std,debug/a2_0_std,debug/q_a1_targ_std,_timestamp,debug/r,episode_length_test,losses/loss_actor,idle_time,return_train,debug/logp_a2_std,debug/a_2,debug/a1_0,episode_length_train,debug/q2,debug/a1_1,_runtime,return_test,debug/critic_grad_norm
1e-05,0.5847379275,6.87015625,14.3798558712,0.3800949066,0.0154865505,0.0101866396,4.4092447917,4.387109375,6.8992837509,0.2439286465,0.5850999645,20,-0.0305421091,0.5852965041,6.8616145833,-2.0397191799,0.0076440899,0.6380658418,0.5836574258,-2.04026733,5e-05,0.0003645833,-0.1941896027,0.0299651931,6.6830241283,0.5854290944,0.5261366674,0.0370734429,0.7001805296,-0.0139948234,0.0983237146,0.0643083585,10184,-0.0309124457,4.4123190387,0.0,4.4067447917,0.5854176811,4.2997146149,1772301039.253637,0.1212686983,0,-6.8892646503,0.0,154.968170166,0.241088754,-0.0131360716,-0.0147821378,1337.0,6.86984375,0.030901749,752.5827809,0,5.1782447916
1e-05,0.5832280687,7.11375,14.3800702095,0.3685692614,0.0153645517,0.0099912175,4.5359375,4.5156770833,7.1466008965,0.2704274476,0.5851261463,21,-0.0373507429,0.5863807491,7.1176041667,-2.0337601145,0.004957307,0.6397193174,0.586764671,-2.0336792755,5e-05,0.000234375,-0.1854896847,0.0539144698,6.9332202117,0.5846338409,0.5261301671,0.0372998214,0.7022625268,-0.0370605352,0.0975432219,0.0622719401,10184,-0.0373593983,4.5320679315,0.0,4.5338541667,0.5863706871,4.4239596208,1772301039.2541358,0.1225056552,0,-7.1320026882,0.0,154.968170166,0.2700814992,-0.007652123,-0.0379356546,1337.0,7.1047395833,0.0545932064,752.5832808,0,4.8836013856
1e-05,0.5861590842,7.20578125,15.0782232285,0.3287557277,0.015275054,0.0105025967,4.7950520833,4.7725,7.2498506705,0.2706707645,0.5835509264,22,0.0587175429,0.5839844034,7.2026041667,-2.0336868509,0.0099754295,0.6330687048,0.5838693476,-2.034139204,5e-05,0.0004752604,-0.1716066157,0.0085322082,7.0575858545,0.5864778006,0.5320569981,0.0390345049,0.6849971094,-0.0413485568,0.0975783086,0.0773434077,10184,0.0575707965,4.8046874579,0.0,4.8013020833,0.5836804471,4.7061317333,1772301039.2551365,0.1154516491,0,-7.2249542522,0.0,154.968170166,0.2705902453,-0.0046988679,-0.0412549466,1337.0,7.2083854167,0.00702129,752.583781,0,6.0179848818
1e-05,0.5854887005,7.6021875,15.0853157043,0.2927138581,0.0149122636,0.0102043271,4.72953125,4.696875,7.6340868823,0.240982885,0.585407901,23,0.0434167026,0.5863057321,7.5852083333,-2.0415948006,0.0050181225,0.629918162,0.585972784,-2.0413581562,5e-05,0.0002408854,-0.1510788333,0.0023918342,7.4494150654,0.584825996,0.5435235201,0.0393472083,0.674981337,-0.0095249601,0.0917154555,0.074368033,11032,0.0421959576,4.7244538665,0.0,4.719375,0.5862343748,4.6419033933,1772301039.2556365,0.1167870674,0,-7.6221648773,0.0,62.8507868449,0.2426117883,-0.0027974431,-0.010456361,595.6666666667,7.6175520833,0.0002740044,752.584281,0,5.7318029453
1e-05,0.5844735901,7.89421875,14.9380376339,0.258191825,0.0155223004,0.0101433627,4.7309895833,4.70625,7.9353458865,0.278373057,0.5814153985,24,0.0794111346,0.5874446988,7.891875,-2.0308726339,0.0053384333,0.6230970734,0.5824242266,-2.0289629118,5e-05,0.0002473958,-0.1352471784,-0.040716767,7.7533719476,0.5844555746,0.5459771917,0.0389744957,0.6616934317,-0.0022474421,0.0898767055,0.0753040085,11032,0.0829384884,4.7261406732,0.0,4.7404166667,0.5870725795,4.6504316664,1772301039.2561367,0.1179803627,0,-7.9144127353,0.0,16.7920951843,0.2836641327,0.0066117911,0.0019907765,225.0,7.89515625,-0.0447792386,752.5847808,0,5.7029906432
1e-05,0.5872143298,7.91,15.1641144753,0.2848183126,0.0154236106,0.0104646111,4.9815104167,4.9545833333,7.9572602812,0.2530442487,0.5854366755,25,0.0376556059,0.5857537222,7.91546875,-2.0386068773,0.0064304461,0.6246385044,0.5867751483,-2.0377091273,5e-05,0.0002994792,-0.1505609616,-0.0026837072,7.7705827284,0.5868145825,0.5424061703,0.0393675288,0.667714809,-0.0323036416,0.0926800006,0.0752789648,11032,0.039189966,4.969671092,0.0,4.97328125,0.585550283,4.8912706478,1772301039.2566369,0.1194522625,0,-7.9311691586,0.0,16.7920951843,0.2552458372,0.0024628959,-0.0334644259,225.0,7.9052083333,-0.008633279,752.5852811,0,6.1378082037
1e-05,0.5845593146,8.2948958333,14.9156990051,0.24837216,0.0151823176,0.0101874081,4.9456770833,4.9150520833,8.3283566999,0.2666438959,0.5873627957,26,-0.0193930427,0.5846846016,8.2835416667,-2.0330892324,0.0051654364,0.6216284364,0.5857464745,-2.0346429352,5e-05,0.0002473958,-0.1293570994,0.0473292174,8.1528696314,0.584833073,0.5491430414,0.0387725608,0.6584325687,0.0588804428,0.08860345,0.0808190488,11312,-0.016978967,4.9316599655,0.0,4.9464583333,0.5853457244,4.8660151752,1772301039.2571366,0.1187850051,0,-8.3151019653,0.0,16.1615629196,0.2634303674,0.0064856636,0.0607397581,243.0,8.3007291667,0.0457567403,752.5857815,0,6.5064109331
1e-05,0.5840428644,8.074375,14.4853363037,0.2873941051,0.0144882084,0.0103213429,5.3330208333,5.2997395833,8.1054799461,0.234200103,0.585357851,27,-0.0086786686,0.5854345636,8.08078125,-2.0424092356,0.0073845946,0.6273987542,0.5844123894,-2.041416769,5e-05,0.0003645833,-0.1439057981,0.0123439993,7.9341048988,0.5850454766,0.5414042169,0.0372767679,0.6688523308,0.0241292686,0.0934918386,0.0899737678,11312,-0.009438041,5.3143043733,0.0,5.32609375,0.585267603,5.2460878754,1772301039.2576368,0.1152043456,0,-8.0940498416,0.0,14.9004983902,0.236214151,0.004111373,0.024899363,279.0,8.0675,0.0127610775,752.5862803,0,6.7333427052
1e-05,0.5839887768,8.3570833333,14.1758284569,0.2543530327,0.0150608801,0.0099435409,5.3236458333,5.29125,8.3855264839,0.2442490463,0.5857057947,28,0.0183643357,0.5856052373,8.3553125,-2.0388855604,0.0061615013,0.6226245485,0.5859923249,-2.0395545578,5e-05,0.0002799479,-0.1358310783,-0.0043255724,8.2210036818,0.5842176191,0.5507438196,0.0366687822,0.6603131719,0.0359949194,0.0896958378,0.0862325832,11312,0.0153564267,5.3115338484,0.0,5.31625,0.5854270275,5.2533053303,1772301039.2581372,0.1155129309,0,-8.3771199528,0.0005004406,14.9004983902,0.2436747999,0.0005016516,0.0349336783,279.0,8.3610416667,-0.0037676848,752.5867809,0,6.5178156202
1e-05,0.5842574157,8.5775,14.3405101299,0.2676367027,0.0146983608,0.0103455154,5.30296875,5.2741666667,8.6174759674,0.2542222662,0.5865841333,29,0.042414944,0.5857983965,8.5875,-2.0387383338,0.00498299,0.6270541133,0.5865755735,-2.039168663,5e-05,0.0002278646,-0.1383391577,-0.0062853739,8.4533369827,0.5848909928,0.5479094325,0.0368393668,0.6688977571,0.0159606379,0.0891199834,0.0837412409,11312,0.042536012,5.2967352017,0.0,5.2950520833,0.5870027481,5.2425069531,1772301039.2586362,0.1173647979,0,-8.5964739307,0.0,14.9004983902,0.2534370671,-0.0002585579,0.0155320756,279.0,8.5742708333,-0.007056902,897.2099406,0,6.1387318158
